eye_X,eye_Y,eye_Z,snout_X,snout_Y,snout_Z,peduncle_X,peduncle_Y,peduncle_Z,dorsaltip_X,dorsaltip_Y,dorsaltip_Z,analtip_X,analtip_Y,analtip_Z,caudaltip_X,caudaltip_Y,caudaltip_Z,Rpecttip_X,Rpecttip_Y,Rpecttip_Z,Rpectbase_X,Rpectbase_Y,Rpectbase_Z,Lpectbase_X,Lpectbase_Y,Lpectbase_Z,Lpecttip_X,Lpecttip_Y,Lpecttip_Z,Rpelvictip_X,Rpelvictip_Y,Rpelvictip_Z,Rpelvicbase_X,Rpelvicbase_Y,Rpelvicbase_Z,Lpelvictip_X,Lpelvictip_Y,Lpelvictip_Z,Lpelvicbase_X,Lpelvicbase_Y,Lpelvicbase_Z
0.444075,5.36623,4.410918,0.115511,5.860935,4.502071,7.576475,5.050979,1.78615,7.56972,4.934014,2.536974,7.9074,5.549025,1.38827,9.085061,6.231691,1.774212,1.013462,4.447922,2.581352,1.172592,5.140451,3.583987,1.36224,5.690601,3.598753,1.72479,6.531626,2.823521,5.777337,4.616563,1.464052,5.2979,4.535857,1.781518,5.905351,5.028978,1.376667,5.335076,4.905798,1.791059
0.423518,5.364657,4.426033,0.106261,5.833422,4.546007,7.506913,5.046116,1.785592,7.529046,4.827867,2.521921,7.903476,5.550212,1.386899,9.056793,6.313291,1.784993,1.002565,4.443085,2.608861,1.167661,5.115177,3.594505,1.342585,5.698371,3.611779,1.667423,6.510306,2.784313,5.756936,4.589737,1.473926,5.277554,4.509113,1.791602,5.884908,5.002284,1.386297,5.314751,4.879196,1.801109
0.441795,5.372109,4.444137,0.116182,5.862357,4.61004,7.467594,5.024832,1.786182,7.529046,4.827867,2.521921,7.883501,5.525844,1.384547,8.961326,6.416107,1.81973,1.050317,4.442092,2.60122,1.163007,5.114714,3.609746,1.250026,5.767973,3.611415,1.660052,6.565751,2.802522,5.759242,4.578158,1.472407,5.277554,4.509113,1.791602,5.877837,4.967381,1.384104,5.269469,4.798254,1.796946
0.444743,5.433619,4.464624,0.116278,5.873295,4.610502,7.463533,5.024935,1.78384,7.529046,4.827867,2.521921,7.878004,5.527172,1.384513,8.911733,6.334544,1.819081,1.022734,4.427409,2.581191,1.155583,5.114449,3.6102,1.25012,5.790215,3.612544,1.634407,6.568323,2.774325,5.774599,4.578161,1.471711,5.277554,4.509113,1.791602,5.877837,4.967381,1.384104,5.277472,4.775192,1.795075
0.437471,5.398612,4.48381,0.116278,5.873295,4.610502,7.451951,5.025013,1.783273,7.529046,4.827867,2.521921,7.86111,5.515089,1.383899,8.85428,6.309633,1.818584,0.995892,4.584341,2.587426,1.152854,5.114591,3.609991,1.258774,5.7892,3.623484,1.603356,6.593596,2.747003,5.774599,4.578161,1.471711,5.277554,4.509113,1.791602,5.87015,4.967354,1.384348,5.277472,4.775192,1.795075
0.440206,5.436768,4.501504,0.116278,5.873295,4.610502,7.448867,5.025814,1.782156,7.526487,4.828097,2.516879,7.85072,5.514097,1.3842,8.831835,6.367454,1.826495,0.947053,4.626899,2.594955,1.153123,5.114342,3.61521,1.264455,5.788621,3.629049,1.632835,6.530605,2.711681,5.774599,4.578161,1.471711,5.277554,4.509113,1.791602,5.87015,4.967354,1.384348,5.271911,4.775262,1.794723
0.449574,5.435817,4.520594,0.119337,5.947631,4.651971,7.406256,5.025332,1.782381,7.502088,4.82909,2.496661,7.83609,5.505866,1.384386,8.81405,6.366014,1.843267,0.909761,4.682004,2.600847,1.153123,5.114342,3.61521,1.267426,5.788188,3.634425,1.595529,6.500158,2.703389,5.774599,4.578161,1.471711,5.277554,4.509113,1.791602,5.872934,4.967318,1.384494,5.271911,4.775262,1.794723
0.453047,5.434864,4.536168,0.120116,6.010497,4.703594,7.402384,5.025273,1.783495,7.467041,4.806319,2.493321,7.845022,5.476418,1.382649,8.795725,6.363213,1.881884,0.900269,4.681243,2.602366,1.153123,5.114342,3.61521,1.270137,5.788044,3.634615,1.54826,6.488355,2.75935,5.774599,4.578161,1.471711,5.277554,4.509113,1.791602,5.872934,4.967318,1.384494,5.269131,4.775298,1.794547
0.456477,5.433898,4.5521,0.122598,6.019166,4.74221,7.420333,5.025071,1.788626,7.452993,4.760243,2.490942,7.843101,5.476377,1.38325,8.780208,6.361702,1.900946,0.923939,4.76018,2.606832,1.15366,5.113845,3.625647,1.270137,5.788044,3.634615,1.532947,6.453757,2.791609,5.775022,4.554924,1.470111,5.277554,4.509113,1.791602,5.872934,4.967318,1.384494,5.266351,4.775334,1.794372
0.459624,5.456407,4.568399,0.140689,6.052121,4.748257,7.415784,5.02507,1.788416,7.445391,4.760291,2.491123,7.840775,5.477341,1.383942,8.721837,6.360709,1.918598,0.935891,4.770228,2.624457,1.148562,5.136135,3.631572,1.263492,5.786887,3.650578,1.536604,6.436983,2.907798,5.782701,4.554925,1.469767,5.258047,4.509402,1.790407,5.872934,4.967318,1.384494,5.266351,4.775334,1.794372
