frame,Fish1_P1_x,Fish1_P1_y,Fish1_P2_x,Fish1_P2_y,Fish1_P3_x,Fish1_P3_y,Fish1_P4_x,Fish1_P4_y,Fish1_P5_x,Fish1_P5_y,Fish2_P1_x,Fish2_P1_y,Fish2_P2_x,Fish2_P2_y,Fish2_P3_x,Fish2_P3_y,Fish2_P4_x,Fish2_P4_y,Fish2_P5_x,Fish2_P5_y,Fish3_P1_x,Fish3_P1_y,Fish3_P2_x,Fish3_P2_y,Fish3_P3_x,Fish3_P3_y,Fish3_P4_x,Fish3_P4_y,Fish3_P5_x,Fish3_P5_y,Fish4_P1_x,Fish4_P1_y,Fish4_P2_x,Fish4_P2_y,Fish4_P3_x,Fish4_P3_y,Fish4_P4_x,Fish4_P4_y,Fish4_P5_x,Fish4_P5_y
0,575.335998535156,902.320007324219,645.593994140625,918.140014648438,804.033020019531,946.2080078125,910.432006835938,964.330993652344,953.190979003906,970.960998535156,908.987976074219,721.953979492188,993.364990234375,719.310974121094,1166.89001464844,698.9990234375,1284.07800292969,731.195983886719,1346.79797363281,745.533996582031,1036.70104980469,795.885986328125,1103.08898925781,796.026000976562,1241.71594238281,804.2080078125,1340.22900390625,769.591979980469,1392.32495117188,761.125,544.992004394531,594.289001464844,611.306030273438,590.43701171875,755.789978027344,591.552001953125,853.181030273438,587.820007324219,882.619995117188,559.760009765625
1,601.075012207031,900.655029296875,660.431030273438,898.310974121094,823.018005371094,897.268981933594,NaN,NaN,NaN,NaN,1267.08801269531,730.39501953125,1323.2509765625,766.909973144531,1403.97802734375,828.692016601562,1457.01098632812,843.831970214844,1490.26904296875,850.171997070312,1129.28295898438,871.343017578125,1210.49499511719,873.643981933594,1380.01696777344,870.10498046875,1548.5400390625,838.236022949219,1586.81994628906,843.093994140625,553.713989257812,501.140991210938,621.052978515625,506.657012939453,759.210021972656,512.296020507812,848.567993164062,546.692016601562,888.065002441406,554.093017578125
2,600.111022949219,900.741027832031,662.578979492188,898.198974609375,822.573974609375,895.671020507812,NaN,NaN,NaN,NaN,1129.2099609375,870.85400390625,1210.57299804688,873.692993164062,1379.57604980469,870.263000488281,1550.51794433594,838.523986816406,1585.79797363281,840.195983886719,1267.07202148438,728.1669921875,1322.51000976562,761.968017578125,1388.86206054688,814.302001953125,1457.43395996094,843.956970214844,NaN,NaN,554.047973632812,501.329986572266,620.802001953125,506.463989257812,759.044006347656,511.027008056641,852.848022460938,546.445983886719,890.044982910156,554.484008789062
3,599.054992675781,902.008972167969,664.052978515625,899.331970214844,822.046997070312,894.814025878906,929.888000488281,935.114013671875,982.263977050781,960.343017578125,1264.7099609375,724.796997070312,1320.76293945312,758.325988769531,1388.68603515625,811.929992675781,1464.36206054688,847.107971191406,NaN,NaN,1129.38305664062,870.791015625,1211,873.218017578125,1379.43103027344,870.466003417969,1551.15002441406,839.434020996094,1586.86303710938,839.427978515625,554.054016113281,501.196014404297,620.849975585938,506.914001464844,759.140014648438,511.106994628906,855.705017089844,546.072021484375,886.89501953125,555.986999511719
4,597.939025878906,900.543029785156,663.736022949219,899.013977050781,820.544006347656,894.531005859375,1535.61804199219,849.442016601562,NaN,NaN,1262.74499511719,721.791015625,1319.88598632812,756.341979980469,1402.93103027344,821.953002929688,1476.9580078125,850.487976074219,NaN,NaN,1129.50500488281,871.219970703125,1210.93200683594,872.692016601562,1379.03503417969,870.723999023438,1553.49096679688,837.008972167969,1584.38500976562,836.89697265625,553.921020507812,501.152008056641,620.859008789062,506.238006591797,761.026977539062,510.648010253906,856.494995117188,542.966003417969,887.836975097656,557.226013183594
5,599.179992675781,902.4580078125,663.986999511719,899.468017578125,819.643981933594,895.135009765625,922.513977050781,918.547973632812,950.594970703125,944.554016113281,1262.21997070312,718.432983398438,1318.625,755.695983886719,1477.53796386719,851.046020507812,1530.60900878906,853.565002441406,1585.12194824219,835.655029296875,1129.34997558594,871.098022460938,1210.35705566406,873.778991699219,1378.77294921875,870.7919921875,1487.73596191406,850.244995117188,NaN,NaN,554.752014160156,499.265991210938,621.989013671875,506.398010253906,759.6240234375,511.057006835938,857.903991699219,539.189025878906,885.640014648438,560.140991210938
6,598.294006347656,901.664001464844,662.684020996094,899.297973632812,818.387023925781,895.861022949219,923.793029785156,914.049987792969,956.640014648438,944.2490234375,1261.78698730469,720.25,1319.31994628906,753.015014648438,1477.00695800781,853.427001953125,1530.34399414062,857.408996582031,1586.57604980469,838.116027832031,1129.30200195312,870.762023925781,1210.47094726562,873.815002441406,1379.59094238281,872.262023925781,1477.64099121094,854.380981445312,NaN,NaN,555.39599609375,497.364013671875,620.375,505.704986572266,759.085021972656,511.597991943359,856.635986328125,526.223999023438,879.098022460938,555.768005371094
7,597.192016601562,900.028015136719,661.836975097656,899.627990722656,818.518981933594,896.866027832031,931.210021972656,911.400024414062,962.491027832031,943.130981445312,1260.70104980469,719.994018554688,1319.26599121094,749.942016601562,1429.44799804688,829.888977050781,1529.02099609375,860.372009277344,1579.65600585938,837.867004394531,1129.23205566406,870.369018554688,1210.44604492188,873.460021972656,1379.70397949219,872.911010742188,1485.04895019531,852.471984863281,NaN,NaN,555.888000488281,496.554992675781,620.719970703125,505.289001464844,760.416015625,513.356994628906,855.083984375,518.130981445312,881.119995117188,540.268005371094
8,599.304992675781,902.788024902344,664.336975097656,899.685974121094,818.72998046875,897.578002929688,931.541015625,908.041015625,969.741027832031,940.89697265625,1258.90905761719,717.726989746094,1317.38903808594,746.794006347656,1430.75805664062,828.015014648438,1490.71594238281,847.380981445312,NaN,NaN,1129.27600097656,870.497009277344,1210.49694824219,873.193969726562,1379.72705078125,873.517028808594,1525.63098144531,863.697021484375,1578.91394042969,846.346008300781,555.861022949219,495.813995361328,620.283020019531,503.815002441406,759.9169921875,515.768005371094,859.080017089844,513.752990722656,884.375,535.760009765625
9,598.046020507812,901.038024902344,663.421020507812,899.736022949219,818.700012207031,898.914978027344,932.267028808594,901.869995117188,973.880004882812,939.481018066406,1256.78894042969,715.711975097656,1316.25402832031,742.606994628906,1431.376953125,825.392028808594,1488.541015625,848.825988769531,NaN,NaN,1129.24597167969,870.10302734375,1210.42102050781,872.948974609375,1379.45104980469,873.533020019531,1525.23706054688,865.914001464844,1586.32604980469,852.356018066406,555.864013671875,493.615997314453,619.918029785156,502.872009277344,760.059997558594,515.927978515625,856.070007324219,506.782989501953,886.426025390625,529.606994628906
