snout_X,snout_Y,snout_Z,mid1_X,mid1_Y,mid1_Z,mid2_X,mid2_Y,mid2_Z,mid3_X,mid3_Y,mid3_Z,mid4_X,mid4_Y,mid4_Z,peduncle_X,peduncle_Y,peduncle_Z,caudaltip_X,caudaltip_Y,caudaltip_Z
220.0196,479.8631,2.4768,200.6864,482.0483,-1.2590,180.5468,485.5882,-3.6317,161.3652,492.3911,-2.2713,143.1942,499.5186,1.3046,123.3166,504.7339,3.7586,102.4160,504.9538,2.6758
221.4678,480.3191,3.2205,202.5121,482.2803,0.1460,181.9881,485.1282,-3.3197,162.5125,490.8262,-3.0088,144.5831,498.7159,0.0136,124.9585,505.0589,2.8541,104.5747,506.5311,3.1432
222.9986,480.3602,3.1865,203.8611,482.6157,0.9969,183.5106,484.9179,-2.6274,163.6963,489.9515,-3.5886,145.6597,497.3507,-1.0534,126.3540,504.7279,2.4196,106.1768,507.3338,3.5454
224.4529,480.3967,3.8412,205.3477,483.1576,2.3707,184.8554,484.6336,-1.3897,164.7599,488.8427,-3.6427,146.5432,496.0169,-2.0138,127.7010,504.0284,1.6033,107.7088,508.3016,3.3665
226.0255,480.8387,3.2390,206.9657,483.3694,3.0654,186.7064,484.8048,-0.4967,166.0339,487.8548,-3.6014,147.7794,494.3574,-3.0548,128.9700,503.0472,0.4285,109.3646,508.7814,3.2025
227.6208,480.2222,2.7086,208.6516,483.7661,3.5139,187.9921,485.2485,0.8583,167.5760,487.6822,-2.7636,149.1612,492.9664,-3.3992,130.0891,501.3936,-0.7072,110.8284,508.8714,2.8015
228.8407,480.2145,2.1369,210.1289,483.9978,3.6372,189.5504,486.0119,1.8978,169.3642,487.6513,-1.9359,150.3311,491.2623,-3.6660,131.4430,499.8999,-1.5510,112.4716,508.0805,1.7892
230.3004,479.2018,0.9838,211.6693,484.1416,3.2002,191.3082,486.3630,2.7027,170.5358,487.5463,-0.4849,151.5257,490.7114,-3.3823,132.2488,498.1965,-2.8185,113.2540,507.2287,0.9405
231.3703,478.6207,-0.3037,213.2231,483.9035,2.9531,192.6639,487.1958,3.3149,172.2100,487.6153,0.3300,152.9714,489.9489,-2.7561,133.7374,496.6785,-3.2608,114.5990,505.5871,-0.4576
232.6516,477.7377,-1.4037,214.2145,483.2885,2.2648,194.4803,487.4938,3.5659,173.6955,488.6190,1.8173,154.3821,489.9962,-2.0423,134.7259,494.9026,-3.3571,115.5968,503.6875,-1.4649
233.9954,476.9864,-2.3925,215.7463,482.9749,1.2922,195.9357,487.6815,3.5189,175.6441,489.5622,2.3220,155.9298,490.0878,-1.2122,135.8450,493.3998,-3.2050,116.8173,502.0529,-2.0371
235.3080,476.3166,-2.9716,217.1649,482.3767,0.0720,197.6533,487.7422,3.1735,177.0467,490.4098,2.9163,157.6351,490.7729,0.2023,136.8873,492.6624,-3.0686,117.8806,500.1631,-3.1818
