Rpectbase_X,Rpectbase_Y,Rpectbase_Z,Rpecttip_X,Rpecttip_Y,Rpecttip_Z,Lpectbase_X,Lpectbase_Y,Lpectbase_Z,Lpecttip_X,Lpecttip_Y,Lpecttip_Z,Rpelvicbase_X,Rpelvicbase_Y,Rpelvicbase_Z,Rpelvictip_X,Rpelvictip_Y,Rpelvictip_Z,Lpelvicbase_X,Lpelvicbase_Y,Lpelvicbase_Z,Lpelvictip_X,Lpelvictip_Y,Lpelvictip_Z,snout_X,snout_Y,snout_Z,mid1_X,mid1_Y,mid1_Z,mid2_X,mid2_Y,mid2_Z,mid3_X,mid3_Y,mid3_Z,peduncle_X,peduncle_Y,peduncle_Z,caudaltip_X,caudaltip_Y,caudaltip_Z
200.1112,489.1961,0.8118,204.7708,512.6613,0.7531,196.7704,475.2405,0.8780,191.8138,451.6439,0.9361,156.9553,500.9173,-1.4628,159.3101,512.5083,-4.6878,154.3415,489.0708,-1.5612,152.0445,477.6302,-4.8118,219.8745,480.0985,2.4216,196.0506,482.6962,-1.9655,172.3753,488.1420,-3.6485,149.9845,497.4005,-0.1279,127.0711,504.0825,3.3414,102.4999,504.9693,2.2737
201.6969,489.3334,1.9325,202.7103,514.9288,-4.1994,198.7511,475.3700,2.2483,197.9957,452.2359,8.0327,158.5303,499.2667,-2.3646,161.8311,510.7912,-6.6041,156.0493,487.3838,-2.6390,152.8366,475.9049,-6.2271,221.6661,480.2021,3.0859,197.9560,482.6464,-0.5810,174.1594,487.0935,-3.5619,151.7174,495.8860,-1.4649,128.7850,503.9997,2.5046,104.5719,506.4773,3.0957
203.3211,489.9021,2.9496,202.1625,516.4286,-7.2496,200.7358,475.5632,3.0145,202.6501,452.4543,13.2491,159.8277,497.9098,-3.1168,164.1405,509.3141,-7.9211,157.6232,485.9899,-3.1897,153.2033,474.5988,-8.0243,223.9909,480.4345,3.4241,199.5226,482.8572,0.3183,176.0578,486.5003,-3.3893,153.1344,494.2354,-2.2483,130.6084,503.7190,1.7604,106.9664,507.1806,3.4782
205.6241,489.8310,4.0106,202.9884,517.0038,-8.4180,202.6100,475.6784,4.1640,206.3868,452.7710,16.7153,161.4005,496.0896,-3.1735,166.5277,507.4833,-8.8758,158.9947,484.5572,-3.3406,153.8384,473.5430,-9.0528,225.6263,480.3200,3.6404,201.5001,483.0577,1.2963,177.8129,485.7175,-2.7142,154.6112,492.5524,-3.0282,131.9571,502.4894,0.6377,108.9001,508.0010,3.5831
207.5051,490.3834,5.2095,203.9613,517.9705,-8.5455,204.4517,476.5967,5.1180,208.4597,452.8797,18.4337,163.2112,495.1105,-3.5149,168.8672,506.1989,-9.3233,160.5435,483.4732,-3.7220,154.4421,472.4985,-9.8048,227.2199,480.2010,3.2622,203.5032,483.6207,2.1777,179.4982,485.3667,-1.9793,156.0046,491.3081,-3.5046,133.8627,501.1026,-0.2627,110.5997,508.2757,3.1372
209.4904,490.6685,5.7230,205.9245,518.1577,-8.2822,206.5290,476.3559,5.7401,210.7586,453.4307,19.2861,165.1991,494.0503,-3.1901,171.2580,504.8867,-10.1132,162.4503,482.4613,-2.8442,155.6907,471.6464,-9.8489,229.0762,479.7863,2.9904,205.4973,483.7942,3.1882,181.2719,485.5093,-0.8682,157.6224,490.0733,-3.7787,135.3669,499.3813,-1.5256,112.4273,508.2828,2.8251
211.1389,491.0033,6.0602,207.6874,518.5799,-8.0322,208.1289,476.9939,5.7205,212.7912,453.6876,19.9143,166.7377,493.5778,-2.6961,173.8808,504.4501,-9.7179,163.9718,481.9224,-2.7482,156.8184,471.1506,-9.6536,230.7561,479.6452,2.0495,207.1691,484.1511,3.4012,183.2558,485.9357,0.3987,159.1973,488.9988,-3.2834,136.7937,497.6944,-2.2414,114.2649,508.0482,2.0741
213.1431,491.2313,5.9531,209.1999,518.7333,-8.0990,209.8997,476.8431,5.8332,215.2733,453.8086,20.1644,168.2939,493.4875,-1.6076,176.1823,504.1105,-9.0026,165.8786,481.6482,-1.7175,157.6649,471.2410,-8.9484,232.9495,478.7385,0.7592,209.4245,484.3375,3.4892,185.0039,486.3642,1.4465,160.8935,488.6261,-2.8854,137.8758,495.8856,-3.0877,116.0914,506.5165,0.7625
214.9183,490.8355,5.7322,211.0427,518.6293,-8.6277,212.1701,476.9456,5.4669,216.7188,453.8625,19.5150,170.0696,493.5943,-0.7477,178.4359,503.7836,-8.0229,167.7131,482.0350,-0.6396,159.4682,471.5135,-8.2089,234.3514,477.9906,-0.4257,211.3609,484.2289,3.4615,186.9739,487.0756,2.0817,162.8366,488.2213,-1.7853,139.6594,494.2876,-3.6903,117.3511,505.0196,-0.5484
216.6418,490.3714,4.8235,213.0993,518.1045,-9.4193,213.6393,476.3592,4.9712,218.4443,453.5276,19.1609,171.8634,493.8506,0.2447,181.1177,504.2617,-6.7832,169.4310,482.5495,0.2716,160.5322,471.8798,-6.6880,236.1787,476.9840,-1.3693,212.7157,484.1621,2.8404,188.9993,487.6593,3.0673,164.8877,488.1934,-0.7629,141.0395,492.8076,-3.5478,118.6164,503.3214,-1.6876
