frame,Fish1_P1_x,Fish1_P1_y,Fish1_P1_z,Fish1_P2_x,Fish1_P2_y,Fish1_P2_z,Fish1_P3_x,Fish1_P3_y,Fish1_P3_z,Fish1_P4_x,Fish1_P4_y,Fish1_P4_z,Fish1_P5_x,Fish1_P5_y,Fish1_P5_z,Fish1_P6_x,Fish1_P6_y,Fish1_P6_z,Fish1_P7_x,Fish1_P7_y,Fish1_P7_z,Fish1_P8_x,Fish1_P8_y,Fish1_P8_z,Fish1_P9_x,Fish1_P9_y,Fish1_P9_z,Fish1_P10_x,Fish1_P10_y,Fish1_P10_z,Fish1_P11_x,Fish1_P11_y,Fish1_P11_z,Fish1_P12_x,Fish1_P12_y,Fish1_P12_z,Fish1_P13_x,Fish1_P13_y,Fish1_P13_z
0,219.9784,479.9741,2.3025,210.1055,481.0329,0.4072,200.0548,482.0851,-1.2575,190.1116,483.6312,-2.5789,180.4324,485.7917,-3.6549,170.5974,488.8186,-3.1885,161.3174,492.4588,-2.2394,151.7171,496.4144,-0.5582,142.6354,500.1547,1.2814,132.9396,503.2311,2.5864,123.1348,504.6301,3.1511,112.8429,505.2272,3.5166,102.7219,504.7665,2.4463
1,221.7260,480.1569,3.0124,211.9056,481.4006,1.7918,201.9163,482.3107,-0.0471,191.7883,483.2438,-1.9725,182.0996,485.0344,-2.8251,172.2205,487.4577,-3.4828,163.0538,491.0882,-2.9312,153.6729,494.9586,-1.9095,144.0134,499.1506,-0.0976,134.6222,502.5620,1.8547,125.0306,505.0966,3.5237,115.0454,506.1119,3.5138,104.6052,506.3502,2.9715
2,223.7308,480.3988,3.3862,213.7414,481.2692,2.4319,203.6703,482.5173,1.1778,193.7200,483.3915,-0.8392,183.9378,484.7836,-2.4549,173.8355,486.8338,-3.4015,164.5766,489.6519,-3.2017,154.9124,493.6455,-2.5770,145.5473,497.3861,-1.0214,136.4585,501.6470,0.9677,126.3427,504.8187,2.5793,116.8113,506.5850,3.4583,107.0623,507.1473,3.4305
3,225.7890,480.2348,3.5361,215.6928,481.6057,3.2716,205.4854,482.9229,2.0191,195.9501,483.6044,0.4627,185.3908,484.4947,-1.5236,175.9541,485.8105,-2.8322,166.0763,488.7332,-3.4839,156.4897,491.8012,-3.4258,147.1508,495.9109,-1.7156,137.7070,500.2246,-0.4932,128.3196,503.9968,1.6957,118.9575,506.7022,2.8132,108.8813,508.1775,3.6645
4,227.2935,480.3475,3.3485,217.6583,482.1477,3.6573,207.6264,483.4723,2.8775,197.4804,483.9411,1.5772,187.4710,484.7167,-0.3150,177.3872,485.4823,-2.1662,167.6764,487.5376,-3.2047,158.1209,490.3550,-3.4882,148.5799,494.0594,-2.7730,139.2917,498.4635,-1.2764,130.0428,502.6967,0.5544,120.6359,506.1460,2.2682,110.7331,508.8158,3.0560
5,229.2819,479.8435,2.7384,219.6852,481.9855,3.8803,209.4235,483.5134,3.3116,199.3553,484.3755,2.2768,189.3959,484.6623,0.9321,179.2767,485.9904,-1.3760,169.4099,487.5569,-2.8839,159.4065,489.2969,-3.4733,150.2189,492.9012,-3.4237,140.5297,496.7756,-2.1332,131.5574,500.9740,-0.6370,122.3351,505.6383,1.3092,112.5947,508.1742,2.6269
6,230.9270,479.5045,1.9890,221.1379,481.6701,3.0588,211.1983,483.7539,3.2512,201.3430,484.8755,3.2848,191.3191,485.6111,1.6362,181.0859,485.8891,0.1102,171.3124,486.9534,-1.4025,161.2957,488.6700,-3.1293,151.6300,491.6819,-3.3720,142.0317,495.0464,-2.9923,133.0742,499.3196,-2.0344,123.3913,503.9522,0.1034,114.3058,507.6120,1.7184
7,232.3240,478.8541,0.9199,223.1264,481.6209,2.4673,213.4199,483.6627,3.3596,203.2321,485.0823,3.1698,193.2874,486.0410,2.5400,183.0311,486.5188,1.2563,173.0360,486.9301,-0.9531,163.0375,487.9505,-2.5147,153.2843,490.5369,-3.3172,143.8965,493.3982,-3.3942,134.2347,497.7275,-2.5315,125.0447,502.5795,-0.9137,115.5698,506.6859,0.8033
8,234.3055,478.1108,-0.1993,224.3968,480.7880,1.6880,215.2138,483.7845,3.2512,204.8867,485.4955,3.3033,195.4552,486.5541,3.0674,185.4077,487.1608,1.7350,175.0005,487.3013,0.2745,164.8045,488.2809,-1.7856,155.0127,489.8254,-3.1048,145.3267,492.1874,-3.6942,135.9618,495.9021,-3.3802,126.8642,500.5165,-2.0437,117.2720,504.9425,-0.0732
9,235.9397,477.2448,-1.3825,226.4814,480.2201,0.6089,216.7436,483.2108,2.3119,207.0180,485.2520,3.1943,197.0263,486.7642,3.6958,187.0743,487.9340,3.1829,176.9295,487.7862,1.2976,166.7618,488.1275,-0.5319,156.7831,489.1774,-2.3263,146.8091,491.4257,-3.3593,137.2390,494.2254,-3.4227,127.9266,498.5372,-2.7318,118.9276,503.4234,-1.4374
