pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y,pt4_cam1_X,pt4_cam1_Y,pt4_cam2_X,pt4_cam2_Y,pt5_cam1_X,pt5_cam1_Y,pt5_cam2_X,pt5_cam2_Y,pt6_cam1_X,pt6_cam1_Y,pt6_cam2_X,pt6_cam2_Y,pt7_cam1_X,pt7_cam1_Y,pt7_cam2_X,pt7_cam2_Y,pt8_cam1_X,pt8_cam1_Y,pt8_cam2_X,pt8_cam2_Y,pt9_cam1_X,pt9_cam1_Y,pt9_cam2_X,pt9_cam2_Y,pt10_cam1_X,pt10_cam1_Y,pt10_cam2_X,pt10_cam2_Y,pt11_cam1_X,pt11_cam1_Y,pt11_cam2_X,pt11_cam2_Y,pt12_cam1_X,pt12_cam1_Y,pt12_cam2_X,pt12_cam2_Y
350.0333,430.8339,350.0078,431.0197,359.8063,454.8027,359.7961,454.9966,180.2270,401.2450,179.8772,401.0992,80.0926,401.0987,79.8131,400.9904,394.8852,391.1134,394.7418,390.9978,250.0295,415.5957,249.7608,416.1722,244.8976,440.8778,245.2135,441.0934,209.9939,408.6646,210.1050,409.0054,205.2120,436.1111,204.9846,436.0485,230.0535,361.1842,230.1401,361.0022,395.0395,411.1343,395.0188,410.9892,349.8817,370.1423,349.9329,370.0707
350.2306,430.8604,350.3783,430.9038,361.5530,456.2468,361.8018,458.8873,180.7303,400.7071,180.1113,401.0477,80.3555,401.3538,80.3265,400.8402,395.4298,391.0875,395.3764,390.9675,250.1380,416.1575,250.2062,415.9769,245.2191,440.7900,245.1978,440.7451,210.1931,408.8693,210.2643,409.2231,205.2943,435.7815,205.2878,435.8240,230.2657,361.2198,230.1168,361.2899,395.5254,411.0152,395.1815,410.7681,348.8154,369.0212,348.7359,366.1255
350.5243,430.7396,350.3176,430.9155,362.8208,457.2018,362.9187,462.2439,180.8654,400.8965,180.3990,401.1101,80.6124,400.8149,80.6341,401.1128,395.4922,390.8656,395.6370,391.0563,250.4800,415.8885,250.5615,415.8239,245.5286,440.6111,245.4915,440.8651,210.7104,408.9037,210.3675,408.8841,205.5133,435.9860,205.7776,435.9921,230.5850,361.1292,230.6369,360.9739,395.6100,410.8025,395.5779,410.9103,347.0656,367.6683,347.2191,362.4268
350.7188,430.8391,350.8131,430.5774,364.5938,458.2504,364.1529,465.5995,180.5151,400.7342,180.9533,400.5585,80.8778,401.1251,80.7105,400.7714,395.7071,390.7279,395.6685,390.8064,250.9497,416.0110,250.9594,416.0811,245.8563,440.6519,245.9993,441.0050,211.0779,408.7760,210.8757,408.7349,205.8720,435.5758,206.0592,435.7561,230.5638,361.0025,230.7168,360.8638,395.8570,410.8492,395.6448,410.9127,345.4674,366.6925,345.6315,359.2240
351.0634,430.8282,351.0546,430.6675,365.5515,459.0485,365.8337,468.4863,180.7931,400.7764,181.0443,400.6650,80.9089,400.7053,80.8294,400.7358,396.1119,390.7380,396.2621,390.9017,250.9791,415.9177,251.3838,415.8730,245.9546,440.8396,245.8484,440.7111,210.9517,408.8786,211.4568,408.6643,206.1135,435.7412,206.1654,435.3798,230.7575,360.8114,231.1523,360.6709,396.2794,410.7975,395.9628,410.6515,344.4142,365.6567,344.9260,356.3095
350.8644,430.7868,351.3322,430.3931,366.3353,459.8161,366.6913,471.2684,181.4061,400.5042,181.1951,400.4899,81.3822,400.6660,81.0097,400.8572,396.2851,390.6220,396.5921,390.2471,251.2059,415.3131,251.1815,415.7162,246.1447,440.5712,246.2935,440.3801,211.3400,408.8300,211.2358,408.5652,206.3257,435.2564,206.2972,435.6253,231.1986,360.6215,231.1642,360.5521,395.8746,410.6255,396.1681,410.3999,343.9114,365.1965,343.3001,353.8690
351.8262,430.4595,351.4110,430.5467,367.2625,460.3907,367.4926,472.9908,181.3272,400.4781,181.2509,400.1771,81.3319,400.3931,81.2813,400.3705,396.5081,390.2100,396.4132,390.7301,251.2917,415.2212,251.1905,415.4418,246.3262,440.2166,246.3147,440.4493,211.2260,408.5868,211.4195,408.3780,206.4371,435.7050,206.4394,435.1375,231.3586,360.4832,231.5580,360.5631,396.2764,410.5838,396.5380,410.7060,342.9631,364.6913,342.5028,351.8441
351.7388,430.4850,351.3604,430.0405,367.7420,460.8685,367.6286,474.2745,181.4584,400.2737,181.4325,400.5282,81.3534,400.0699,81.3468,400.2347,396.4342,390.2899,396.7374,389.9576,251.3025,415.0975,251.4585,415.3607,246.2106,440.0591,246.4960,440.1945,211.4444,408.1091,211.4045,408.3605,206.3036,435.2104,206.6636,435.3242,231.5269,360.0148,231.3176,360.2532,396.7092,410.1428,396.5345,410.2807,342.5277,364.2994,342.1708,350.5735
351.7337,430.0552,351.5045,430.0324,368.1325,461.0365,367.7275,474.8826,181.6010,400.0715,181.5630,399.8961,81.4508,400.1390,81.5841,400.1362,396.3687,390.0886,396.6418,389.7493,251.6881,414.8483,251.5670,415.0165,246.2039,440.3503,246.5188,440.1472,211.6106,408.1680,211.6285,408.0690,206.5064,434.8390,206.2921,435.2755,231.5396,360.0815,231.3024,359.9803,396.2953,409.8713,396.4238,410.0030,342.1311,363.5459,341.9635,350.2394
351.4905,429.8474,351.6117,429.8906,367.8951,460.9930,367.8853,474.9052,181.5571,399.8224,181.5793,399.7537,81.6644,399.7829,81.3808,400.0100,396.5966,389.6349,396.4139,390.0830,251.4736,414.7616,251.4707,415.0700,246.3717,439.9253,246.6085,439.7364,211.5887,407.6954,211.4196,408.0826,206.3398,434.8730,206.4354,434.9005,231.5382,359.8233,231.1994,359.8232,396.6901,409.6672,396.2968,409.9528,342.0780,363.8428,342.2181,350.1701
