pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y,pt4_cam1_X,pt4_cam1_Y,pt4_cam2_X,pt4_cam2_Y,pt5_cam1_X,pt5_cam1_Y,pt5_cam2_X,pt5_cam2_Y,pt6_cam1_X,pt6_cam1_Y,pt6_cam2_X,pt6_cam2_Y,pt7_cam1_X,pt7_cam1_Y,pt7_cam2_X,pt7_cam2_Y,pt8_cam1_X,pt8_cam1_Y,pt8_cam2_X,pt8_cam2_Y,pt9_cam1_X,pt9_cam1_Y,pt9_cam2_X,pt9_cam2_Y,pt10_cam1_X,pt10_cam1_Y,pt10_cam2_X,pt10_cam2_Y,pt11_cam1_X,pt11_cam1_Y,pt11_cam2_X,pt11_cam2_Y,pt12_cam1_X,pt12_cam1_Y,pt12_cam2_X,pt12_cam2_Y
350.1323,431.0907,349.9320,430.8702,360.4496,454.8385,359.8994,455.1371,180.0602,401.1460,180.1172,400.9790,79.9894,400.9362,79.9773,401.2101,394.9734,390.9989,395.0728,391.0026,249.8485,416.1527,249.9302,415.8945,244.9273,441.1073,244.9235,441.0944,210.1358,408.8297,209.8797,409.2294,204.7145,435.9216,204.9696,436.0272,230.0645,360.9330,229.8100,361.1492,395.1017,410.8502,394.8912,410.9756,349.6907,369.9600,349.8615,370.1259
349.9900,430.9278,350.1863,430.5762,361.4803,456.0977,361.4676,458.7264,180.5186,400.8669,180.2565,400.8364,80.2810,400.9943,80.2985,400.9847,395.2258,390.8793,395.2634,390.9070,250.2450,415.9524,250.4368,416.0726,245.2870,441.0313,245.3753,441.1743,210.1104,409.1474,210.6354,409.4035,205.3226,436.0756,204.9975,435.9890,230.1805,360.8957,230.2735,361.0843,395.4094,410.9083,395.4722,411.0376,351.4919,371.2335,351.5694,374.0278
350.6817,431.1466,350.4731,430.8104,362.9034,457.1824,363.0140,462.1181,180.7984,400.6368,180.2625,400.8080,80.5864,400.6429,80.7375,401.0584,395.4339,391.0998,395.4753,390.9634,250.6888,415.9831,250.5837,415.9427,245.3347,440.8410,245.6161,441.0256,210.6822,408.9388,210.5400,409.1620,205.7730,436.1231,205.4846,436.1865,230.3229,360.7449,230.5039,360.7772,395.3434,411.0448,395.9610,410.8610,353.0237,372.3268,352.8777,377.6350
350.7641,430.8636,350.9786,431.0240,364.2016,458.1716,364.3299,465.8245,180.6972,400.9731,180.8864,400.7942,80.7240,400.7398,80.6751,400.7807,395.9637,390.7352,395.8342,390.8895,250.5041,415.8772,250.7153,416.0260,245.6846,440.7286,245.6991,440.9222,210.9555,409.0916,210.8867,408.6359,205.7041,435.7532,205.6328,435.9175,230.6656,360.9113,230.7092,360.9796,395.8643,411.0812,395.8728,410.8813,354.3830,373.2613,354.3015,380.4843
350.8867,430.7150,351.0911,430.9808,365.4970,459.0155,365.3987,468.9235,181.0857,400.9885,180.9647,400.9807,80.8980,400.9579,80.9841,400.9020,396.0012,390.6233,395.8648,390.8116,251.0978,415.9483,250.9332,415.8392,246.0176,440.7685,246.2475,440.4522,210.8973,408.4062,210.8199,409.0567,205.9227,435.8686,205.9745,435.6174,230.7633,360.9771,231.2880,360.7641,396.2569,410.6587,395.8532,410.5183,355.4682,374.0216,355.4751,383.5219
351.3793,430.5480,351.0773,430.8731,366.5181,459.8591,366.5078,471.1577,181.2205,400.6173,181.2434,400.6508,81.3399,400.7404,81.2826,400.5706,396.4393,390.7444,396.1256,390.5269,251.2827,415.7658,251.2715,415.5516,246.5608,440.5354,246.1221,440.6464,211.3795,408.7715,211.2119,408.5141,206.2046,435.6884,206.0795,435.6092,231.3423,360.6177,231.2896,360.4587,396.0579,410.5441,395.9539,410.5026,356.5098,374.4754,356.3798,385.9872
351.3622,430.3570,351.4379,430.5935,367.3660,460.7295,367.1979,472.9522,181.2178,400.6526,181.1626,400.5417,81.4200,400.6558,81.4421,400.2525,396.3724,390.4629,396.4564,390.3312,251.5006,415.5080,251.4621,415.6348,246.4583,440.4994,246.2701,440.5659,211.5487,408.4113,211.1471,408.4668,206.4347,435.5506,206.5812,435.2141,231.2983,360.5334,231.5551,360.4101,396.5628,410.4446,396.2379,410.3193,357.1912,375.3912,357.2348,388.0731
351.3993,430.0972,351.8798,430.0734,367.5630,460.7248,367.7860,474.5508,181.6043,400.3712,181.2626,399.9999,81.3665,400.1594,81.7771,400.1869,396.3087,390.2856,396.6315,390.5903,251.6532,415.3646,251.5358,415.2533,246.5672,440.3223,246.1217,440.2603,211.3033,408.2301,211.5211,408.5806,206.3236,435.2879,206.5432,435.5438,231.6266,360.2867,231.5339,360.0611,396.3185,410.3359,396.1669,410.3773,357.4797,375.7548,357.8080,389.2689
351.6311,430.1254,351.5420,430.0357,367.9116,460.8536,368.1484,474.7701,181.4271,400.2581,181.5530,399.9774,81.3820,399.9631,81.3233,400.2632,396.4967,390.0023,396.4107,390.1990,251.5387,415.0813,251.5111,415.1112,246.4528,439.9919,246.4218,440.1985,211.2991,407.9884,211.7512,408.0463,206.3005,435.0017,206.1474,434.7812,231.5823,359.9693,231.4938,360.1516,396.6543,410.1768,396.5079,409.9727,358.0952,376.0704,358.2228,389.7059
351.3442,429.9389,351.3297,429.6763,367.9501,460.6342,367.9722,474.8706,181.4574,400.0908,181.6552,399.7030,81.4598,399.6683,81.5460,399.9259,396.7299,389.8191,396.4515,390.0111,251.6174,414.9255,251.3693,414.6730,246.4099,439.7222,246.4755,439.9628,211.3660,407.7842,211.5181,408.0270,206.5738,434.9164,206.5304,434.7544,231.6397,360.0480,231.4016,359.6588,396.4822,409.7809,396.3788,410.0457,357.9329,375.9286,357.9089,389.9535
