scorer,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3
bodyparts,snout,snout,snout,mid1,mid1,mid1,mid2,mid2,mid2,mid3,mid3,mid3,peduncle,peduncle,peduncle,snout,snout,snout,mid1,mid1,mid1,mid2,mid2,mid2,mid3,mid3,mid3,peduncle,peduncle,peduncle,snout,snout,snout,mid1,mid1,mid1,mid2,mid2,mid2,mid3,mid3,mid3,peduncle,peduncle,peduncle
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,106.0845,199.8379,0.9698,82.1336,199.3801,0.9927,57.8688,199.3779,0.9512,34.4794,200.5845,0.9815,-2.0282,201.2602,0.9830,65.8984,261.4961,0.9758,42.1336,259.7439,0.9559,18.2023,258.7795,0.9757,-5.9143,258.5877,0.9851,-41.6994,257.4847,0.9501,46.1169,151.6279,0.9913,21.9507,149.9596,0.9514,-1.8751,148.6839,0.9927,-25.9770,148.7959,0.9989,-61.9516,147.7526,0.9629
1,107.0412,199.9424,0.9794,83.1506,199.6477,0.9701,59.1798,199.0280,0.9947,35.1254,200.0843,0.9708,-1.0726,201.1582,0.9623,67.0857,261.7371,0.9556,43.1894,259.8861,0.9634,19.3639,258.5817,0.9519,-4.8705,258.2986,0.9608,-40.7157,257.5772,0.9810,47.0783,151.5583,0.9939,23.2057,150.0637,0.9716,-0.8106,148.3361,0.9638,-24.8490,148.4624,0.9656,-60.7483,148.1334,0.9972
2,108.3932,200.1194,0.9906,84.1705,199.7766,0.9553,60.5889,199.1303,0.9639,36.3327,199.6697,0.9781,0.5862,201.3714,0.9927,68.1274,261.9759,0.9844,44.4432,260.3644,0.9733,20.4731,258.2807,0.9541,-3.5692,257.9553,0.9880,-39.7362,257.7849,0.9888,48.4936,151.6302,0.9632,24.4813,150.3546,0.9930,0.5382,148.4627,0.9538,-23.6158,148.0556,0.9507,-59.4829,148.3266,0.9840
3,109.5723,200.8350,0.9531,85.4447,199.9051,0.9896,61.6646,199.1236,0.9584,37.6639,199.0465,0.9893,1.5732,201.0757,0.9960,69.7350,262.2592,0.9675,45.5961,260.2040,0.9541,21.5463,258.2956,0.9625,-2.2705,257.4361,0.9862,-38.1509,257.7155,0.9793,49.4384,152.0873,0.9906,25.6672,150.4225,0.9730,1.3084,148.7947,0.9963,-22.2729,147.9027,0.9938,-58.3489,148.1778,0.9728
4,110.9397,200.6234,0.9685,87.1498,200.1817,0.9902,62.8967,199.3346,0.9736,38.8385,199.0063,0.9575,2.7616,200.8109,0.9814,70.9171,262.3031,0.9978,46.7043,260.7164,0.9801,22.5967,258.6700,0.9893,-1.0675,257.3383,0.9884,-37.2745,257.2838,0.9871,50.9697,152.0233,0.9757,26.8047,150.6983,0.9510,3.1339,148.6466,0.9621,-20.9747,147.4750,0.9807,-57.0777,148.1045,0.9980
5,112.1774,200.6967,0.9860,87.8108,200.3039,0.9989,63.7392,199.1927,0.9526,40.1017,198.9023,0.9883,3.8429,200.9996,0.9699,71.7769,262.4473,0.9795,48.1421,261.0541,0.9603,24.4140,258.6003,0.9674,0.0965,257.1698,0.9800,-35.7250,257.0425,0.9546,51.5064,152.0420,0.9552,27.8671,151.0364,0.9623,3.8351,148.8926,0.9530,-19.8519,147.3760,0.9774,-55.6798,147.7882,0.9939
6,113.1216,200.4844,0.9834,89.4007,200.4069,0.9871,64.8911,199.6861,0.9709,41.4139,198.8251,0.9559,5.1715,200.2896,0.9985,73.2348,262.1264,0.9828,49.1687,261.0357,0.9512,25.2255,258.9499,0.9740,1.2137,257.0415,0.9620,-34.6280,256.6515,0.9883,53.3908,152.1608,0.9626,29.2166,151.0167,0.9699,5.3550,149.2611,0.9626,-18.7526,147.1856,0.9543,-54.4744,147.2559,0.9692
