pt1_X,pt1_Y,pt2_X,pt2_Y,pt3_X,pt3_Y,pt4_X,pt4_Y,pt5_X,pt5_Y
1237.230459,710.998841,1311.879790,672.332709,1311.879790,672.332709,1404.800994,688.074928,1432.863022,699.040296
1238.545326,710.249930,1275.020000,704.040000,1354.402229,693.046983,1405.942282,685.951447,1433.300911,697.119845
1236.990000,710.930000,1275.040000,704.060000,1354.944497,693.046983,1405.942282,684.940266,1433.081967,693.628117
1236.980000,710.810000,1275.040000,704.010000,1354.944497,694.127993,1405.942282,684.940266,1431.330410,699.738641
1236.960000,710.630000,1275.030000,703.970000,1354.944497,694.127993,1405.942282,684.940266,1433.957745,694.675635
1237.060000,710.130000,1275.100000,703.910000,1356.040748,695.067694,1405.688663,683.019021,1433.957745,694.675635
1237.120000,709.650000,1275.100000,703.690000,1356.150000,695.590000,1405.688663,683.019021,1433.957745,690.310975
1237.090000,708.470000,1275.140000,703.570000,1357.000000,696.720000,1405.435043,683.019021,1436.147191,686.644660
1237.010000,707.210000,1275.230000,703.220000,1353.960000,699.510000,1405.688663,684.030203,1436.147191,683.502104
1236.930000,706.360000,1275.330000,703.150000,1351.270000,701.770000,1405.688663,685.445857,1432.425133,678.962857
1237.070000,705.410000,1275.410000,702.920000,1351.270000,702.960000,1405.435043,686.457038,1429.797798,673.550678
1237.140000,705.230000,1275.250000,703.360000,1352.160000,703.730000,1405.435043,688.580519,1435.709302,676.169475
1237.160000,704.880000,1275.020000,703.900000,1352.898564,703.880085,1405.688663,690.400646,1427.389407,675.296543
1237.140000,704.850000,1275.030000,703.860000,1353.150000,704.120000,1405.942282,692.423009,1429.797798,680.534135
1237.030000,705.010000,1274.980000,703.850000,1353.100000,704.130000,1406.956761,698.186743,1429.797798,684.200450
1237.070000,705.050000,1275.010000,703.690000,1353.030000,704.060000,1407.210380,699.703515,1431.768299,686.993833
1237.000000,705.380000,1275.050000,703.390000,1353.050000,703.990000,1407.717620,701.725878,1433.957745,691.358493
1236.840000,706.010000,1275.310000,702.630000,1358.902678,702.356107,1407.717620,702.737059,1435.709302,696.421499
1236.680000,706.660000,1275.420000,702.650000,1358.902678,702.356107,1407.971239,704.152713,1439.650304,701.484506
1236.630000,707.210000,1275.260000,702.800000,1358.902678,702.356107,1408.224859,705.366131,1438.774526,703.055783
1236.720000,708.030000,1275.010000,702.630000,1358.902678,701.749991,1408.351669,706.073958,1439.650304,704.976234
1236.710000,708.850000,1274.900000,702.830000,1358.902678,701.345914,1408.224859,706.276194,1439.650304,704.976234
1236.690000,709.710000,1274.780000,702.970000,1359.536106,700.133684,1407.844429,705.770604,1438.993471,707.769617
1236.680000,710.380000,1274.690000,703.000000,1359.789478,699.729607,1406.956761,704.759422,1438.774526,711.435932
1236.660000,710.590000,1274.520000,703.120000,1360.169535,698.820433,1406.703141,703.343768,1432.863022,714.054728
1236.550000,710.630000,1273.990000,703.020000,1360.422907,698.113299,1406.703141,703.141532,1432.863022,714.054728
1234.900000,709.020000,1273.900000,703.030000,1360.422907,697.709222,1406.956761,700.714696,1431.768299,712.134277
1233.800000,708.260000,1273.880000,703.050000,1360.296221,697.204126,1406.449522,697.681152,1433.081967,711.261345
1233.160000,707.420000,1273.860000,703.110000,1360.169535,696.699029,1405.688663,696.164380,1434.395634,709.515481
1232.650000,707.280000,1273.950000,703.170000,1360.169535,696.193933,1405.054614,694.748726,1435.052468,708.817135
1232.510000,707.230000,1274.150000,703.320000,1360.169535,695.183741,1404.800994,692.726363,1436.147191,707.595030
1232.300000,707.090000,1274.270000,703.340000,1360.169535,695.082722,1404.800994,691.614063,1438.336637,705.150820
1232.190000,706.970000,1274.430000,703.490000,1359.789478,694.678645,1405.054614,690.097291,1439.431360,703.928716
1232.010000,706.800000,1274.740000,703.680000,1359.156049,693.264375,1404.800994,687.468219,1439.431360,701.833679
1231.830000,706.500000,1274.451101,705.414324,1359.156049,693.163356,1404.547374,686.558156,1440.526083,698.341950
1231.620000,705.750000,1273.970000,704.920000,1359.156049,693.163356,1404.547374,687.063747,1440.745027,697.294432
1230.860000,704.830000,1273.890000,704.630000,1359.156049,692.961318,1404.547374,687.468219,1442.058695,695.199395
1230.020000,703.740000,1273.880000,704.600000,1359.156049,692.961318,1404.547374,687.468219,1441.620806,687.692178
1229.210000,703.000000,1273.840000,704.660000,1359.156049,693.567433,1404.420565,687.670456,1442.058695,684.200450
1228.920000,702.480000,1273.890000,704.820000,1358.902678,695.587818,1403.913325,688.883873,1442.058695,680.708722
1229.160000,702.360000,1273.890000,704.910000,1358.902678,695.991895,1403.913325,688.984992,1440.963972,677.915339
1229.020000,702.200000,1273.840000,704.860000,1358.902678,696.598010,1403.532896,689.490582,1440.088194,676.169475
1228.920000,702.070000,1273.780000,704.840000,1359.029363,697.204126,1403.152466,690.198409,1439.869249,675.994888
1228.840000,701.990000,1273.810000,704.870000,1359.156049,697.608203,1402.772037,691.108473,1437.241914,674.598197
1228.760000,701.940000,1271.000000,701.900000,1359.029363,697.709222,1402.518417,692.119654,1436.804025,674.598197
1228.630000,701.970000,1270.630000,701.250000,1358.902678,698.214318,1402.264798,692.726363,1436.804025,676.344061
1228.550000,702.020000,1270.360000,701.040000,1358.522620,698.618395,1402.137988,693.535308,1436.147191,679.661203
