pt1_X,pt1_Y,pt2_X,pt2_Y,pt3_X,pt3_Y,pt4_X,pt4_Y,pt5_X,pt5_Y
882.207155,898.591537,938.918091,886.355587,1018.662472,844.812694,1071.303234,833.074798,1096.986967,841.440834
880.530000,898.720000,938.860000,886.160000,1019.190000,846.330000,1071.010000,829.530000,1097.891524,830.647160
878.140000,898.400000,938.840000,885.990000,1019.260000,848.700000,1068.830313,826.194173,1096.383929,824.170955
875.630000,897.580000,938.690000,885.320000,1020.220000,851.350000,1066.769546,824.818048,1096.383929,824.170955
872.940000,896.970000,931.129191,890.644995,1023.283297,854.373044,1066.357392,823.097892,1096.383929,818.774118
870.040000,896.460000,928.790000,891.640000,1024.870000,856.830000,1063.678394,829.634485,1096.986967,816.615383
867.270000,896.400000,925.800000,892.340000,1026.810000,859.750000,1063.060164,832.558751,1080.101896,815.266174
864.710000,896.360000,923.420000,892.730000,1028.980000,862.020000,1062.648011,838.579297,1080.403415,815.805857
862.340000,896.400000,921.230000,892.920000,1030.930000,864.870000,1062.648011,840.815500,1081.911011,820.663011
860.010000,896.710000,919.190000,893.140000,1035.999950,868.885407,1064.090548,844.427828,1083.418606,823.361429
857.920000,897.140000,917.040000,893.550000,1038.244626,871.508541,1065.120932,847.352094,1084.323164,826.599532
855.930000,897.850000,915.000000,894.110000,1041.070000,874.400000,1066.357392,851.136437,1084.323164,830.377318
853.660000,898.370000,912.800000,894.930000,1041.387171,880.127410,1065.734113,858.046929,1084.624683,836.853522
851.380000,899.500000,910.690000,895.660000,1041.960000,883.430000,1069.157696,860.333105,1084.323164,845.488462
849.300000,901.080000,908.670000,896.150000,1043.100000,886.520000,1073.265995,864.905456,1085.227721,851.694825
847.320000,902.670000,906.540000,897.030000,1044.010620,886.324114,1076.900000,867.910000,1088.845950,860.329764
845.480000,904.180000,903.940000,897.970000,1045.020000,888.550000,1077.716652,871.192440,1091.258103,865.996443
843.920000,906.110000,901.350000,899.160000,1046.080000,890.840000,1079.428443,876.907880,1092.765699,870.853597
841.970000,907.970000,899.410000,900.200000,1047.150000,892.970000,1080.940000,881.110000,1093.368737,879.218695
840.180000,909.850000,897.530000,901.280000,1047.570000,895.330000,1079.428443,888.052987,1093.670256,882.996481
838.440000,911.560000,895.990000,902.230000,1044.720000,897.860000,1078.930000,892.080000,1093.670256,888.663160
